Subject,Session,Folder,File
sub-CG64920,ses-202405081,func,sub-CG64920_ses-202405081_task-rest_dir-AP_run-1_bold
sub-CG64920,ses-202405081,func,sub-CG64920_ses-202405081_task-rest_dir-AP_run-2_bold
sub-CG64920,ses-202405081,func,sub-CG64920_ses-202405081_task-rest_dir-PA_run-1_bold
sub-CG64920,ses-202405081,func,sub-CG64920_ses-202405081_task-rest_dir-PA_run-2_bold
sub-CG72703,ses-202404241,anat,sub-CG72703_ses-202404241_run-1_T1w
sub-CG72703,ses-202404241,anat,sub-CG72703_ses-202404241_run-1_T2w
sub-CG72703,ses-202404241,func,sub-CG72703_ses-202404241_task-rest_dir-AP_run-1_bold
sub-CG72703,ses-202404241,func,sub-CG72703_ses-202404241_task-rest_dir-AP_run-2_bold
sub-CG72703,ses-202404241,func,sub-CG72703_ses-202404241_task-rest_dir-PA_run-1_bold
sub-CG72703,ses-202404241,func,sub-CG72703_ses-202404241_task-rest_dir-PA_run-2_bold
sub-CG85336,ses-202404301,anat,sub-CG85336_ses-202404301_run-1_T1w
sub-CG85336,ses-202404301,anat,sub-CG85336_ses-202404301_run-1_T2w
sub-CG85336,ses-202404301,func,sub-CG85336_ses-202404301_task-rest_dir-AP_run-1_bold
sub-CG85336,ses-202404301,func,sub-CG85336_ses-202404301_task-rest_dir-AP_run-2_bold
sub-CG85336,ses-202404301,func,sub-CG85336_ses-202404301_task-rest_dir-PA_run-1_bold
sub-CG85336,ses-202404301,func,sub-CG85336_ses-202404301_task-rest_dir-PA_run-2_bold
sub-CG94446,ses-202405281,anat,sub-CG94446_ses-202405281_run-1_T1w
sub-CG94446,ses-202405281,anat,sub-CG94446_ses-202405281_run-1_T2w
sub-CG94446,ses-202405281,func,sub-CG94446_ses-202405281_task-rest_dir-AP_run-1_bold
sub-CG94446,ses-202405281,func,sub-CG94446_ses-202405281_task-rest_dir-AP_run-2_bold
sub-CG94446,ses-202405281,func,sub-CG94446_ses-202405281_task-rest_dir-PA_run-1_bold
sub-CG94446,ses-202405281,func,sub-CG94446_ses-202405281_task-rest_dir-PA_run-2_bold
sub-CG97315,ses-202404221,anat,sub-CG97315_ses-202404221_run-1_T1w
